PÉRIODE DE RÉFÉRENCE;GÉO;DGUID;Type de matières récupérées;Sources des matières préparées en vue du recyclage;UNITÉ DE MESURE;IDENTIFICATEUR D'UNITÉ DE MESURE;FACTEUR SCALAIRE;IDENTIFICATEUR SCALAIRE;VECTEUR;COORDONNÉES;VALEUR;STATUS;SYMBOLE;TERMINÉ;DÉCIMALES
2018;Canada;2021A000011124;Toutes les matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315092;1.1.1;9551229;;;;0
2018;Canada;2021A000011124;Toutes les matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315093;1.1.2;;..;;;0
2018;Canada;2021A000011124;Toutes les matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315094;1.1.3;;..;;;0
2018;Canada;2021A000011124;Toutes les fibres de papier;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315095;1.2.1;3519689;;;;0
2018;Canada;2021A000011124;Toutes les fibres de papier;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315096;1.2.2;1537059;;;;0
2018;Canada;2021A000011124;Toutes les fibres de papier;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315097;1.2.3;1982630;;;;0
2018;Canada;2021A000011124;Verre;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315098;1.3.1;396931;;;;0
2018;Canada;2021A000011124;Verre;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315099;1.3.2;298052;;;;0
2018;Canada;2021A000011124;Verre;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315100;1.3.3;98879;;;;0
2018;Canada;2021A000011124;Métaux ferreux;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315101;1.4.1;624866;;;;0
2018;Canada;2021A000011124;Métaux ferreux;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315102;1.4.2;114861;;;;0
2018;Canada;2021A000011124;Métaux ferreux;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315103;1.4.3;510005;;;;0
2018;Canada;2021A000011124;Cuivre et aluminium;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315104;1.5.1;132062;;;;0
2018;Canada;2021A000011124;Cuivre et aluminium;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315105;1.5.2;40715;;;;0
2018;Canada;2021A000011124;Cuivre et aluminium;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315106;1.5.3;91347;;;;0
2018;Canada;2021A000011124;Métaux mélangés;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315107;1.6.1;116987;;;;0
2018;Canada;2021A000011124;Métaux mélangés;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315108;1.6.2;59862;;;;0
2018;Canada;2021A000011124;Métaux mélangés;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315109;1.6.3;57125;;;;0
2018;Canada;2021A000011124;Électroménagers;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315110;1.7.1;63459;;;;0
2018;Canada;2021A000011124;Électroménagers;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315111;1.7.2;38603;;;;0
2018;Canada;2021A000011124;Électroménagers;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315112;1.7.3;24856;;;;0
2018;Canada;2021A000011124;Matériel électronique;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315113;1.8.1;105270;;;;0
2018;Canada;2021A000011124;Matériel électronique;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315114;1.8.2;;..;;;0
2018;Canada;2021A000011124;Matériel électronique;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315115;1.8.3;;..;;;0
2018;Canada;2021A000011124;Matières plastiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315116;1.9.1;354559;;;;0
2018;Canada;2021A000011124;Matières plastiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315117;1.9.2;250323;;;;0
2018;Canada;2021A000011124;Matières plastiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315118;1.9.3;104236;;;;0
2018;Canada;2021A000011124;Récipients triangulaires et aseptiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315119;1.10.1;25223;;;;0
2018;Canada;2021A000011124;Récipients triangulaires et aseptiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315120;1.10.2;22205;;;;0
2018;Canada;2021A000011124;Récipients triangulaires et aseptiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315121;1.10.3;3018;;;;0
2018;Canada;2021A000011124;Textiles;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315122;1.11.1;58895;;;;0
2018;Canada;2021A000011124;Textiles;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315123;1.11.2;58407;;;;0
2018;Canada;2021A000011124;Textiles;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315124;1.11.3;488;;;;0
2018;Canada;2021A000011124;Pneus;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315125;1.12.1;487904;;;;0
2018;Canada;2021A000011124;Pneus;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315126;1.12.2;;..;;;0
2018;Canada;2021A000011124;Pneus;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315127;1.12.3;;..;;;0
2018;Canada;2021A000011124;Déchets provenant de la construction, de la rénovation et de la démolition;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315128;1.13.1;722451;;;;0
2018;Canada;2021A000011124;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315129;1.13.2;117626;;;;0
2018;Canada;2021A000011124;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315130;1.13.3;604825;;;;0
2018;Canada;2021A000011124;Toutes les matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315131;1.14.1;2878960;;;;0
2018;Canada;2021A000011124;Toutes les matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315132;1.14.2;2278984;;;;0
2018;Canada;2021A000011124;Toutes les matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315133;1.14.3;599976;;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588711;1.16.1;;..;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588712;1.16.2;;..;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588713;1.16.3;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588714;1.17.1;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588715;1.17.2;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588716;1.17.3;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588717;1.18.1;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588718;1.18.2;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588719;1.18.3;;..;;;0
2018;Canada;2021A000011124;Autres matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315134;1.15.1;63973;;;;0
2018;Canada;2021A000011124;Autres matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315135;1.15.2;46485;;;;0
2018;Canada;2021A000011124;Autres matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315136;1.15.3;17488;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315137;2.1.1;41739;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315138;2.1.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315139;2.1.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les fibres de papier;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315140;2.2.1;28679;;;;0
