periode,geo,type_matiere,producteur,volume_tonnes
2018,Canada,Toutes les matières,Toutes les sources des matières récupérées,9551229.0
2020,Canada,Toutes les matières,Toutes les sources des matières récupérées,9903027.0
2022,Canada,Toutes les matières,Toutes les sources des matières récupérées,9898882.0
2018,Canada,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Canada,Toutes les matières,Sources des matières résidentielles récupérées,
2022,Canada,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,
2022,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Canada,Toutes les fibres de papier,Toutes les sources des matières récupérées,3519689.0
2020,Canada,Toutes les fibres de papier,Toutes les sources des matières récupérées,3502683.0
2022,Canada,Toutes les fibres de papier,Toutes les sources des matières récupérées,3571384.0
2018,Canada,Toutes les fibres de papier,Sources des matières résidentielles récupérées,1537059.0
2020,Canada,Toutes les fibres de papier,Sources des matières résidentielles récupérées,1548028.0
2022,Canada,Toutes les fibres de papier,Sources des matières résidentielles récupérées,1445597.0
2018,Canada,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,1982630.0
2020,Canada,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,1954655.0
2022,Canada,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,2125787.0
2018,Canada,Verre,Toutes les sources des matières récupérées,396931.0
2020,Canada,Verre,Toutes les sources des matières récupérées,423565.0
2022,Canada,Verre,Toutes les sources des matières récupérées,455131.0
2018,Canada,Verre,Sources des matières résidentielles récupérées,298052.0
2020,Canada,Verre,Sources des matières résidentielles récupérées,303780.0
2022,Canada,Verre,Sources des matières résidentielles récupérées,337991.0
2018,Canada,Verre,Sources des matières non résidentielles récupérées,98879.0
2020,Canada,Verre,Sources des matières non résidentielles récupérées,119785.0
2022,Canada,Verre,Sources des matières non résidentielles récupérées,117139.0
2018,Canada,Métaux ferreux,Toutes les sources des matières récupérées,624866.0
